"type","value","source"
"hash_sha1","EA7C97294F415DC8713AC8C280B3123DA62F6E56","public"
"domain","1.lusyn.xyz","public"
"domain","academymusica.com","public"
"domain","anallyticsnodde.com","public"
"domain","analyticnodes.com","public"
"domain","analytido.com","public"
"domain","analytiwave.com","public"
"domain","andoks.com.ph","public"
"domain","core.amoliera.com","public"
"domain","core.amoliera.info","public"
"domain","core.amoliera.org","public"
"domain","core.sopeited.com","public"
"domain","core.sopeited.info","public"
"domain","core.sopeited.org","public"
"domain","crmmr.icc.me","public"
"domain","dasfsdfsdfsdfasfgbczxxc.lusyn.xyz","public"
"domain","dow.17kp.xyz","public"
"domain","e445a00fffe335d6dac0ac0fe0a5accc-9591beae439b860-b5c7747.hf.space","public"
"domain","ebeninstallsvc.com","public"
"domain","elomaio.com","public"
"domain","fopelas.com","public"
"domain","goclouder.com","public"
"domain","gorgxwebset.com","public"
"domain","input.17kp.xyz","public"
"domain","nethostsupport.ddns.net","public"
"domain","otx.gxwxtvonline.com","public"
"domain","samsnewlooker.com","public"
"domain","security.claufgaurd.com","public"
"domain","security.clodaflare.com","public"
"domain","security.clodufgard.com","public"
"domain","security.clodufshield.com","public"
"domain","security.clodujflare.com","public"
"domain","security.cloflguared.com","public"
"domain","security.cloofalerg.com","public"
"domain","security.closecufre.com","public"
"domain","security.cloudstwr.com","public"
"domain","security.clouodgrd.com","public"
"domain","security.colkudflare.com","public"
"domain","security.flaiegaurd.com","public"
"domain","security.flargyard.com","public"
"domain","security.flclodshield.com","public"
"domain","security.flearegaurdc.com","public"
"domain","security.flflaegaurd.com","public"
"domain","security.shieldclouds.com","public"
"domain","sharecloud.click","public"
"domain","sopeited.com","public"
"domain","sopeited.info","public"
"domain","sopeited.org","public"
"domain","squaresnacres.com","public"
"domain","stat.bundlehulu.com","public"
"domain","swizxx-blitz-net.hf.space","public"
"domain","tradesmarkets.greenadelhouse.com","public"
"domain","uxmesysconsole.com","public"
"domain","wcnchost.ddns.net","public"
"domain","wmiapcservice.com","public"
"domain","wusvcpsvc.com","public"
"domain","www.amoliera.com","public"
"domain","www.amoliera.info","public"
"domain","www.amoliera.org","public"
"domain","www.sopeited.com","public"
"domain","www.sopeited.info","public"
"domain","www.sopeited.org","public"
"domain","www.zennailbar.com","public"
"url","http://1.lusyn.xyz/jc/1","public"
"url","http://1.lusyn.xyz/jc/aa","public"
"url","http://1.lusyn.xyz/jc/cs","public"
"url","http://1.lusyn.xyz/jc/jc.sh","public"
"url","http://185.208.159.155:8000/application-ref.jar","public"
"url","http://dasfsdfsdfsdfasfgbczxxc.lusyn.xyz/api","public"
"url","http://paste.ee/d/bx699sF9/0","public"
"url","http://paste.ee/d/jYHEqBJ3/0","public"
"url","https://archive.org/download/new_ABBAS/new_ABBAS.jpg","public"
"url","https://canary.discord.com/api/webhooks/1357293459207356527/GRsqv7AQyemZRuPB1ysrPUstczqL4OIi-I7RibSQtGS849zY64H7W_-c5UYYtrDBzXiq","public"
"url","https://changeaie.top/geps","public"
"url","https://dow.17kp.xyz","public"
"url","https://gh-proxy.com/https://github.com/trexminer/T-Rex/releases/download/0.26.8/t-rex-0.26.8-linux.tar.gz","public"
"url","https://gh-proxy.com/https://github.com/xmrig/xmrig/releases/download/v6.22.2/xmrig-6.22.2-linux-static-x64.tar.gz","public"
"url","https://ia601205.us.archive.org/26/items/new_image_20250430/new_image.jpg","public"
"url","https://jawdedmirror.run/ewqd","public"
"url","https://liftally.top/xasj","public"
"url","https://lonfgshadow.live/xawi","public"
"url","https://nighetwhisper.top/lekd","public"
"url","https://owlflright.digital/qopy","public"
"url","https://salaccgfa.top/gsooz","public"
"url","https://tinyurl.com/2ypy4jrz?id=5541213d-0ed8-4516-82e7-5460d4ebaf3b","public"
"url","https://westrosei.live/agoz","public"
"url","https://zestmodp.top/zeda","public"
"hash_md5","011A406E89E603E93640B10325EBBDC8","public"
"hash_md5","03C1E2D713C480EC7DC39F9C4FAD39EC","public"
"hash_md5","0A922D6347087F3317900628F191D069","public"
"hash_md5","0AC15547240CA763A884E15AD3759CF1","public"
"hash_md5","0C0195C48B6B8582FA6F6373032118DA","public"
"hash_md5","1B9C49E531F2AD7B54D40395252CBC20","public"
"hash_md5","216EDF4FC0E7A40279E79FF4A5FAF4F6","public"
"hash_md5","24FD043F9175680D0C061B28A2801DFC","public"
"hash_md5","29B83F0AAE7ED38D27EA37D26F3C9117","public"
"hash_md5","2B9C5F6F01A7A06BEEB533967A6E23EF","public"
"hash_md5","2E9920B21DF472B4DD1E8DB4863720BF","public"
"hash_md5","3120A5920F8FF70EC6C5A45D7BF2ACC8","public"
"hash_md5","323D97C876F173628442FF4D1AAA8C98","public"
"hash_md5","34546A79DE045B7EE4C0C8D4CBEB6778","public"
"hash_md5","3C2F6175894BEE698C61C6CE76FF9674","public"
"hash_md5","45A41CE9F4D8BB2592E8450A1DE95DCC","public"
"hash_md5","45D07497AC7FE550B8B394978652CAA9","public"
"hash_md5","524A57C8C595D9D4CD364612FE2F057C","public"
"hash_md5","5B8961A8C3B6CA1D1E2EF3155C7C1B53","public"
"hash_md5","5C11E88D1B68A84675AF001FD4360068","public"
"hash_md5","628B27234E68D44E01EA7A93A39F2AD3","public"
"hash_md5","660D4EEB022EE1DE93B157E2AA8FE1DC","public"
"hash_md5","687FDFA9417CFAC88B314DEB421CD436","public"
"hash_md5","6B0D14FB1DDD04AC26FB201651EB5070","public"
"hash_md5","74DEE23EAA98E2E8A7FC355F06A11D97","public"
"hash_md5","7611646B02FFD5DE6CB3F41D0721F2BA","public"
"hash_md5","761909A234EE4F1D856267ABE30A3935","public"
"hash_md5","79E96F11974F0CD6F5DE0E7C7392B679","public"
"hash_md5","7AE448B067D652F800B0E36B1EDEA69F","public"
"hash_md5","7EB3D72FA7D730D3DBCA4DF34FE26274","public"
"hash_md5","81F91F201D861E4DA765BAE8E708C0D0","public"
"hash_md5","84BC219286283CA41B7D229F83FD6FDC","public"
"hash_md5","8820AB362B7BAE6610363D6657C9F788","public"
"hash_md5","8949F492001BB0CA9212F85953A6DCDA","public"
"hash_md5","8A3E1176CB160FB42357FA3F46F0CBDE","public"
"hash_md5","8D92E79B7940F0AC5B01BBB77737CA6C","public"
"hash_md5","90221365F08640DDCAB86A9CD38173CE","public"
"hash_md5","90279863B305EF951AB344AF5246B766","public"
"hash_md5","91F5009C786618BBBD798EE777B061E3","public"
"hash_md5","93553897E9E898C0C1E30838325ECFBD","public"
"hash_md5","93D9D7B19403A6B794CBF4277E66BCA0","public"
"hash_md5","940F3A03661682097A4E7A7990490F61","public"
"hash_md5","95EAA3FA47A609CEEFA24E8C7787BD99","public"
"hash_md5","96EE8CC2EDC8227A640CEF77D4A24E83","public"
"hash_md5","97003F4DCF81273AE882B6CD1F2839EF","public"
"hash_md5","9BDCF5F16CB8331241B2997EF88D2A67","public"
"hash_md5","A28D13C6661CA852893B5F2E6A068B55","public"
"hash_md5","AAF34C27EDFC3531CF1CF2F2E9A9C45B","public"
"hash_md5","B33F1A3C8E245F4FFC269E22919D5F76","public"
"hash_md5","B3F0223E99B7B66A71C2E9B3A0574B12","public"
"hash_md5","BA32F4EEF7DE6BAE9507A63BDE1A43AA","public"
"hash_md5","BCBFEC6F1DA388CA05EC3BE2349F47C7","public"
"hash_md5","C0ED4F906576C06D861302E8CF924309","public"
"hash_md5","D9C1409E32A1B33070BED3A295123E66","public"
"hash_md5","E9B0BAE8A8724A78D57BEC24796320C0","public"
"hash_md5","F73F1A694D2A5C7E6D04FBC866A916BD","public"
"hash_md5","FA2B090426691E08B18917D3BBAF87CE","public"
"hash_md5","FD43666006938B7C77B990B2B4531B9A","public"
"hash_sha256","056FB07672DAC83EF61C0B8B5BDC5E9F1776FC1D9C18EF6C3806E8FB545AF78C","public"
"hash_sha256","07B610BF7862614DA77EBF4BA2773471FC6F9DC80A6E64B9F1E1287E260D739B","public"
"hash_sha256","07F7CE55E75AFDA05241C70710D5C6769909D94193E41B370A29B5DCA3EF1F3D","public"
"hash_sha256","080F56CEA7ACFD9C20FC931E53EA1225EB6B00CF2F05A76943E6CF0770504C64","public"
"hash_sha256","0854A2CB1B070DE812B8178D77E27C60AE4E53CDCB19B746EDAFE22DE73DC28A","public"
"hash_sha256","0953D4CC6861082C079935918C63CD71DF30E5E6854ADF608A8B8F5254BE8E99","public"
"hash_sha256","0957884A5864DEB4389DA3B68D3D2A139B565241DA3BB7B9C4A51C9F83B0F838","public"
"hash_sha256","096E6546B5CA43ADBE34BBEDC84B002BBF399D2ECF08E83966757B88C5C0D2A2","public"
"hash_sha256","0DF13FD42FB4A4374981474EA87895A3830EDDCC7F3BD494E76ACD604C4004F7","public"
"hash_sha256","0E80FE5636336B70B1775E94AAA219E6AA27FCF700F90F8A5DD73A22C898D646","public"
"hash_sha256","10CEC5A84943F9B0C635640FAD93FD2A2469CC46AAE5E43A4604C903D139970F","public"
"hash_sha256","116FBB00ECDFE1FF4A9511E096C30A233B02BE54D38E9A3D6A7E43A3205B1640","public"
"hash_sha256","13D6C512BA9E07061BB1542BB92BEC845B37ADC955BEA5DCCD6D7833D2230FF2","public"
