"type","value","source"
"domain","abstracts.cngsby.cfd","public"
"domain","admirable.brehmed.cfd","public"
"domain","adventure.lantial.cfd","public"
"domain","airconditionersontop.com","public"
"domain","alignment.econd.cfd","public"
"domain","artistry.cngsby.sbs","public"
"domain","b8-crypt0x.com","public"
"domain","blackangel.dev","public"
"domain","breakfast.ffiftringg.sbs","public"
"domain","clumsy-fir-mandible.glitch.me","public"
"domain","coinsboostbonus.top","public"
"domain","composure.pedancy.fun","public"
"domain","constructive.lantial.us","public"
"domain","dalopt.participates.cfd","public"
"domain","discovered.secamondareeng.space","public"
"domain","email.gov.in.gov-in.mywire.org","public"
"domain","encrypthub.net","public"
"domain","encrypthub.org","public"
"domain","expedient.eithert.cfd","public"
"domain","framework.chellor.cfd","public"
"domain","framework.reorget.cfd","public"
"domain","framework.retiont.space","public"
"domain","fuckedserver.net","public"
"domain","global-protect.us","public"
"domain","hot-gays-quest.life","public"
"domain","ht2jndn.web.app","public"
"domain","ity.anoneth.fun","public"
"domain","jeel.top","public"
"domain","keenram.anariding.site","public"
"domain","lakesandinnovations.com","public"
"domain","landscape.chanism.sbs","public"
"domain","landslide.postume.cfd","public"
"domain","limitedavailability-show.com","public"
"domain","livingscontinuations.com","public"
"domain","mainframe.crellar.sbs","public"
"domain","malwarehunterteam.net","public"
"domain","methodical.reorgedt.fun","public"
"domain","momentous.debayon.sbs","public"
"domain","motorcyclesincyprus.com","public"
"domain","myhot-cams.life","public"
"domain","oldoak.spindexed.site","public"
"domain","postindia.site","public"
"domain","premiumservices.approviding.store","public"
"domain","resonance.agained.cfd","public"
"domain","romancezone.one","public"
"domain","setting-raw-jushd.vercel.app","public"
"domain","simulators-and-cars.com","public"
"domain","slothingpressing.com","public"
"domain","small-inches.com","public"
"domain","strawberriesandmangos.com","public"
"domain","streamingleaksnow.com","public"
"domain","tavux.participates.cfd","public"
"domain","topawardpicks.top","public"
"domain","transmit.chanism.cfd","public"
"domain","tremendous.mcgonal.cfd","public"
"domain","tripplebanks.duckdns.org","public"
"domain","workbench.cudwork.cfd","public"
"domain","www.entryway.world","public"
"domain","your-bigprofit.top","public"
"domain","yourspacegain.top","public"
"url","https://freeimagecdn.com","public"
"url","https://github.com/Rekrutacja-JS/FizzBuzz","public"
"url","https://litter.catbox.moe/eduway.ps1","public"
"url","https://mia.nl.tab.digital/remote.php/dav/files","public"
"url","https://mvnrepo.net","public"
"url","https://my.powerfolder.com/webdav/utils/elzp.txt","public"
"url","https://planachiever.au/admin-admin/Belejrers.fla","public"
"url","https://planachiever.au/admin-admin/bPeMVYr142.bin","public"
"url","https://raw.githubusercontent.com/coder9440/drop2/refs/heads/main/faktura_586507.pdf.lnk","public"
"url","https://raw.githubusercontent.com/coder9540/weather_widget/refs/heads/main/SkyWatchWeather.exe","public"
"hash_sha1","02065BBDB3209E0522DB3225600B8E79F8A10293","public"
"hash_sha1","089439168D3C75B4DA94AB801F1C46AD6B9E1FDC","public"
"hash_sha1","0B689C5677445729C609E284E91C7048A1D8BC11","public"
"hash_sha1","0E282DC84D6CFD447FECE7D3ECC622523B143AA8","public"
"hash_sha1","151DC47B213AAEC3751FFD1427737C65757AB410","public"
"hash_sha1","1CC2D1F2A991C19B7E633A92B1629641C019CDEB","public"
